"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Book of Demons","0","0","8","0","0.36","0.36","0.04","0.05","-25.0","0.05","1.39","719","0.14","2016-08-22","449960"
"Death Stair","0","0","8","0","0.43","0.43","0.05","0.04","20.0","0.17","0.03","38","0.17","2016-08-20","444880"
"Kick Ass Commandos","0","0","8","0","0.41","0.41","0.05","0.04","20.0","0.78","0.03","53","0.17","2016-08-19","359140"
"One Clone Left","0","0","8","0","0.73","0.73","0.09","N/A","0.0","0.82","0.42","17","0.31","2016-08-19","452180"
"Miaou Moon","0","0","8","0","0.54","0.54","0.07","0.08","-14.3","0.26","0.93","25","0.24","2016-08-19","513580"
"Offworld Trading Company","0","0","8","0","0.32","0.32","0.04","0.03","25.0","0.05","0.05","822","0.14","2016-08-15","271240"
"8-Bit Hordes","0","0","8","0","0.39","0.39","0.05","0.04","20.0","0.19","0.06","126","0.17","2016-08-12","497850"
"GemBreak","0","0","8","0","0.66","0.66","0.08","0.06","25.0","0.15","0.20","18","0.28","2016-08-11","491160"
"Dino Run DX","0","0","8","0","0.35","0.35","0.04","0.03","25.0","0.10","0.07","111","0.14","2016-08-11","248330"
"Holodrive","0","0","8","0","0.52","0.52","0.07","0.05","28.6","0.06","0.06","87","0.24","2016-08-10","370770"
"Unexplored","0","0","8","0","0.34","0.34","0.04","0.04","0.0","0.07","0.04","163","0.14","2016-08-10","506870"
"DubWars","0","0","8","0","0.54","0.54","0.07","N/A","0.0","0.63","0.37","42","0.24","2016-08-08","290000"
"Little King's Story","0","0","8","0","0.48","0.48","0.06","0.25","-316.7","0.15","0.27","36","0.21","2016-08-08","390310"
"Space Ribbon","0","0","8","0","0.39","0.39","0.05","0.03","40.0","0.04","0.04","43","0.17","2016-08-07","501220"
"Lil Big Invasion","0","0","8","0","0.27","0.27","0.03","0.02","33.3","0.04","0.04","186","0.10","2016-08-07","491240"
"Conception II: Children of the Seven Stars","0","0","8","0","0.55","0.55","0.07","0.18","-157.1","0.26","0.48","86","0.24","2016-08-05","458730"
"Squarelands","0","0","8","0","0.43","0.43","0.05","0.04","20.0","0.06","0.03","54","0.17","2016-08-04","383560"
"Polynomial 2","0","0","8","0","1.30","1.30","0.16","N/A","0.0","0.37","1.48","32","0.56","2016-08-04","379420"
"Space Rift - Episode 1","0","0","8","0","0.77","0.77","0.10","0.62","-520.0","0.25","2.83","38","0.35","2016-08-04","437080"
"RollerGirls From Beyond","0","0","8","0","5.07","5.07","0.63","N/A","0.0","1.20","1.45","17","2.19","2016-08-03","470490"
"Kingdom: New Lands","0","0","8","0","0.34","0.34","0.04","0.03","25.0","0.04","0.04","1057","0.14","2016-08-03","496300"
"Ray Gigant","0","0","8","0","0.65","0.65","0.08","N/A","0.0","0.16","0.18","22","0.28","2016-08-02","421600"
"The Secret Monster Society","0","0","8","0","0.58","0.58","0.07","0.08","-14.3","0.64","0.13","31","0.24","2016-07-31","495960"
"Out of Reach","0","0","8","0","0.41","0.41","0.05","0.02","60.0","0.06","0.05","161","0.17","2016-07-31","327090"
"Kitten Rampage","0","0","8","0","1.26","1.26","0.16","N/A","0.0","1.38","0.38","18","0.56","2016-07-29","434360"
"Corona Blossom Vol.1 Gift From the Galaxy","0","0","8","0","0.63","0.63","0.08","0.10","-25.0","0.08","0.30","93","0.28","2016-07-28","496260"
"Moribund","0","0","8","0","1.31","1.31","0.16","0.29","-81.2","0.08","0.42","20","0.56","2016-07-21","500790"
"Slide Ride Arcade","0","0","8","0","0.72","0.72","0.09","N/A","0.0","0.06","0.03","67","0.31","2016-07-20","462400"
"Sonicomi","0","0","8","0","0.96","0.96","0.12","0.09","25.0","0.15","2.42","47","0.42","2016-07-13","444140"
"Bot Vice","0","0","8","0","0.34","0.34","0.04","0.03","25.0","0.03","0.05","145","0.14","2016-07-11","491040"
"MEMENTO","0","0","8","0","0.41","0.41","0.05","0.39","-680.0","0.11","0.19","33","0.17","2016-07-08","437030"
"Killing Time at Lightspeed: Enhanced Edition","0","0","8","0","0.54","0.54","0.07","0.06","14.3","0.17","0.22","34","0.24","2016-07-08","380660"
"Frost","0","0","8","0","0.56","0.56","0.07","0.04","42.9","0.21","0.41","28","0.24","2016-07-05","490950"
"UnderEarth","0","0","8","0","0.39","0.39","0.05","0.03","40.0","1.06","0.05","45","0.17","2016-07-04","377100"
"The Juicer","0","0","8","0","0.58","0.58","0.07","0.03","57.1","0.03","0.12","83","0.24","2016-07-01","400790"
"Zombie Night Terror","0","0","8","0","0.32","0.32","0.04","0.03","25.0","0.03","0.03","625","0.14","2016-07-01","416680"
"SPY Fox in: Dry Cereal","0","0","8","0","0.76","0.76","0.10","0.09","10.0","0.18","0.08","57","0.35","2016-06-30","283980"
"Pajama Sam in No Need to Hide When It's Dark Outside","0","0","8","0","0.79","0.79","0.10","0.11","-10.0","0.12","0.09","65","0.35","2016-06-30","283960"
"The Technomancer","0","0","8","0","0.44","0.44","0.06","0.04","33.3","0.05","0.06","165","0.21","2016-06-27","338390"
"Ace of Protectors","0","0","8","0","0.49","0.49","0.06","0.03","50.0","0.03","0.04","123","0.21","2016-06-27","398150"
"Auralux: Constellations","0","0","8","0","1.13","1.13","0.14","N/A","0.0","1.06","1.54","56","0.49","2016-06-26","444130"
"Crongdor the Barbarian","0","0","8","0","0.57","0.57","0.07","0.50","-614.3","1.16","1.23","17","0.24","2016-06-26","467790"
"Night Mysteries: The Amphora Prisoner","0","0","8","0","0.34","0.34","0.04","0.03","25.0","0.04","0.03","92","0.14","2016-06-25","348870"
"Spooky Heroes","0","0","8","0","0.37","0.37","0.05","0.03","40.0","0.04","0.03","96","0.17","2016-06-25","486500"
"Purino Party","0","0","8","0","0.91","0.91","0.11","0.14","-27.3","0.54","1.99","37","0.38","2016-06-23","483960"
"Father´s Island","0","0","8","0","0.46","0.46","0.06","0.04","33.3","0.03","0.09","229","0.21","2016-06-22","460940"
"Screeps: World","0","0","8","0","0.39","0.39","0.05","0.07","-40.0","0.42","0.05","133","0.17","2016-06-20","464350"
"Higurashi When They Cry Hou - Ch.3 Tatarigoroshi","0","0","8","0","0.82","0.82","0.10","0.10","0.0","0.05","0.47","79","0.35","2016-06-17","472870"
"Hearts of Iron IV","0","0","8","0","0.44","0.44","0.06","0.04","33.3","0.10","0.05","3260","0.21","2016-06-15","394360"
"Gun Done","0","0","8","0","0.28","0.28","0.04","0.02","50.0","0.03","0.03","406","0.14","2016-06-14","488280"
"War of the Human Tanks - Limited Operations","0","0","8","0","0.57","0.57","0.07","0.16","-128.6","0.50","0.83","21","0.24","2016-06-13","301930"
"Super Duper Party Pooper","0","0","8","0","0.39","0.39","0.05","0.04","20.0","0.04","0.03","80","0.17","2016-06-12","485870"
"WildStar","0","0","8","0","0.80","0.80","0.10","0.20","-100.0","2.04","0.43","87","0.35","2016-06-12","376570"
"XIIZEAL","0","0","8","0","0.42","0.42","0.05","0.50","-900.0","2.43","0.48","26","0.17","2016-06-12","364250"
"Crea","0","0","8","0","0.38","0.38","0.05","0.03","40.0","0.08","0.05","181","0.17","2016-06-12","280520"
"A Game of Changes","0","0","8","0","0.31","0.31","0.04","0.02","50.0","0.03","0.03","602","0.14","2016-06-12","467090"
"TRON RUN/r","0","0","8","0","0.55","0.55","0.07","0.25","-257.1","0.23","0.75","103","0.24","2016-06-03","392000"
"Turmoil","0","0","8","0","0.32","0.32","0.04","0.04","0.0","0.04","0.04","1728","0.14","2016-06-02","361280"
"Attack of the Labyrinth +","0","0","8","0","0.87","0.87","0.11","0.14","-27.3","0.45","0.48","23","0.38","2016-06-02","357830"
"Meridian: Squad 22","0","0","8","0","0.43","0.43","0.05","0.04","20.0","0.94","0.03","37","0.17","2016-06-01","451400"
"Empires Of Creation","0","0","8","0","0.49","0.49","0.06","0.05","16.7","0.06","0.07","34","0.21","2016-06-01","412250"
"BUDDY","0","0","8","0","0.89","0.89","0.11","0.18","-63.6","0.17","0.56","19","0.38","2016-05-30","478210"
"NeuroVoider","0","0","8","0","0.33","0.33","0.04","0.03","25.0","0.08","0.05","209","0.14","2016-05-28","400450"
"METAGAL","0","0","8","0","0.40","0.40","0.05","N/A","0.0","0.29","0.08","58","0.17","2016-05-26","467850"
"The Metronomicon: Slay The Dance Floor","0","0","8","0","0.42","0.42","0.05","0.04","20.0","0.86","0.04","81","0.17","2016-05-24","416790"
"Pub Encounter","0","0","8","0","0.64","0.64","0.08","N/A","0.0","0.21","0.77","41","0.28","2016-05-24","447190"
"Meridian: New World","0","0","8","0","0.40","0.40","0.05","0.02","60.0","0.04","0.04","79","0.17","2016-05-23","265120"
"Savage Resurrection","0","0","8","0","0.52","0.52","0.07","0.04","42.9","0.05","0.05","37","0.24","2016-05-20","366440"
"Sylvio","0","0","8","0","0.55","0.55","0.07","0.23","-228.6","0.13","0.12","31","0.24","2016-05-20","362860"
"FINAL FANTASY X/X-2 HD Remaster","0","0","8","0","0.71","0.71","0.09","0.08","11.1","0.05","0.13","678","0.31","2016-05-13","359870"
"Assassins vs Pirates","0","0","8","0","0.66","0.66","0.08","0.27","-237.5","0.75","0.26","21","0.28","2016-05-12","425150"
"Warriors' Wrath","0","0","8","0","0.36","0.36","0.04","0.04","0.0","0.03","0.03","112","0.14","2016-05-11","466420"
"Elements: Soul of Fire","0","0","8","0","0.36","0.36","0.04","0.02","50.0","0.03","0.03","276","0.14","2016-05-10","340650"
"Goliath","0","0","8","0","0.42","0.42","0.05","0.10","-100.0","0.09","0.06","57","0.17","2016-05-10","363520"
"Tadpole Treble","0","0","8","0","0.43","0.43","0.05","0.05","0.0","0.04","0.05","43","0.17","2016-05-07","354400"
"Flag N Frag","0","0","8","0","0.47","0.47","0.06","0.08","-33.3","0.56","0.45","35","0.21","2016-05-05","456160"
"Dashy Square","0","0","8","0","0.63","0.63","0.08","N/A","0.0","0.12","1.50","41","0.28","2016-04-26","461230"
"Leave Me Alone: A Trip To Hell","0","0","8","0","1.63","1.63","0.20","0.21","-5.0","0.04","0.04","17","0.70","2016-04-23","444520"
"Bell Ringer","0","0","8","0","0.38","0.38","0.05","0.02","60.0","0.09","0.03","99","0.17","2016-04-21","424830"
"Gahkthun of the Golden Lightning Steam Edition","0","0","8","0","0.78","0.78","0.10","0.40","-300.0","2.24","0.17","53","0.35","2016-04-16","458380"
"Combat Racers","0","0","8","0","2.95","2.95","0.37","N/A","0.0","0.56","0.40","12","1.29","2016-04-15","444870"
"FINAL FANTASY IX","0","0","8","0","0.72","0.72","0.09","0.09","0.0","0.06","0.05","286","0.31","2016-04-14","377840"
"Attack Heroes","0","0","8","0","0.93","0.93","0.12","N/A","0.0","0.72","0.62","20","0.42","2016-04-14","428200"
"Inquisitor","0","0","8","0","0.38","0.38","0.05","0.03","40.0","0.03","0.04","175","0.17","2016-04-12","241620"
"Typefighters (Steam Edition)","0","0","8","0","1.11","1.11","0.14","0.31","-121.4","0.20","0.66","26","0.49","2016-04-09","434290"
"Mushroom Wars","0","0","8","0","0.44","0.44","0.05","0.03","40.0","0.03","0.04","93","0.17","2016-04-07","431250"
"The Guest","0","0","8","0","0.30","0.30","0.04","0.03","25.0","0.10","0.04","131","0.14","2016-04-07","402040"
"NO THING","0","0","8","0","0.94","0.94","0.12","0.12","0.0","0.04","0.03","24","0.42","2016-04-07","444800"
"Stikbold!","0","0","8","0","0.39","0.39","0.05","0.03","40.0","0.04","0.06","138","0.17","2016-04-05","429330"
"Tokyo Babel","0","0","8","0","0.71","0.71","0.09","N/A","0.0","0.16","0.58","54","0.31","2016-03-31","443380"
"Megamagic: Wizards of the Neon Age","0","0","8","0","0.42","0.42","0.05","0.04","20.0","0.12","1.11","67","0.17","2016-03-31","422650"
"Road Madness","0","0","8","0","0.54","0.54","0.07","0.04","42.9","0.03","0.03","93","0.24","2016-03-30","457710"
"Satellite Rush","0","0","8","0","0.40","0.40","0.05","0.03","40.0","0.04","0.03","59","0.17","2016-03-30","429350"
"Tasty Planet: Back for Seconds","0","0","8","0","0.48","0.48","0.06","0.06","0.0","0.13","0.18","76","0.21","2016-03-29","445110"
"Obliteracers","0","0","8","0","0.42","0.42","0.05","0.04","20.0","0.12","0.05","62","0.17","2016-03-29","368740"
"Solstice","0","0","8","0","0.47","0.47","0.06","0.03","50.0","0.08","0.15","66","0.21","2016-03-24","317280"
"Samorost 3","0","0","8","0","0.48","0.48","0.06","0.06","0.0","0.04","0.04","192","0.21","2016-03-24","421120"
"Magical Eyes - Red is for Anguish","0","0","8","0","0.74","0.74","0.09","0.09","0.0","0.04","0.89","108","0.31","2016-03-24","366780"
"Spaceman Sparkles 3","0","0","8","0","0.70","0.70","0.09","0.17","-88.9","0.69","0.03","67","0.31","2016-03-21","453740"
"ZeGame","0","0","8","0","0.93","0.93","0.12","0.21","-75.0","0.54","1.19","33","0.42","2016-03-20","437520"
"Serious Sam HD: The Second Encounter","0","0","8","0","0.39","0.39","0.05","0.03","40.0","0.05","0.05","698","0.17","2016-03-18","41010"
"Serious Sam HD: The First Encounter","0","0","8","0","0.40","0.40","0.05","0.03","40.0","0.03","0.03","393","0.17","2016-03-18","41000"
"Royal Heroes","0","0","8","0","0.39","0.39","0.05","0.03","40.0","0.03","0.03","80","0.17","2016-03-18","439920"
"Serafina's Crown","0","0","8","0","0.45","0.45","0.06","0.03","50.0","0.04","0.03","48","0.21","2016-03-16","449340"
"There's Poop In My Soup","0","0","8","0","0.43","0.43","0.05","0.03","40.0","0.04","0.03","78","0.17","2016-03-14","449540"
"Alekhine's Gun","0","0","8","0","0.48","0.48","0.06","0.03","50.0","0.18","0.11","48","0.21","2016-03-11","406720"
"The Next World","0","0","8","0","0.44","0.44","0.06","0.06","0.0","0.54","0.13","31","0.21","2016-03-11","427860"
"Tic-Toc-Tower","0","0","8","0","0.40","0.40","0.05","0.02","60.0","0.03","0.03","46","0.17","2016-03-10","389310"
"Planet Stronghold: Colonial Defense","0","0","8","0","1.43","1.43","0.18","N/A","0.0","26.27","2.56","23","0.63","2016-03-10","435260"
"GTGD S3 How To Make A Game","0","0","8","0","3.37","3.37","0.42","0.91","-116.7","2.63","2.70","31","1.46","2016-03-08","415000"
"Beyond Dimensions","0","0","8","0","0.84","0.84","0.10","0.26","-160.0","1.22","0.05","26","0.35","2016-03-05","429250"
"Sunrider: Liberation Day - Captain's Edition","0","0","8","0","0.62","0.62","0.08","0.05","37.5","0.10","0.08","98","0.28","2016-03-05","358750"
"Graviteam Tactics: Mius-Front","0","0","8","0","0.41","0.41","0.05","0.09","-80.0","0.52","0.10","51","0.17","2016-03-05","312980"
"RaceRoom Racing Experience","0","0","8","0","0.77","0.77","0.10","0.09","10.0","0.06","0.06","199","0.35","2016-03-01","211500"
"Deponia Doomsday","0","0","8","0","0.41","0.41","0.05","0.04","20.0","0.05","0.04","281","0.17","2016-03-01","421050"
"Asteroid Bounty Hunter","0","0","8","0","0.34","0.34","0.04","0.02","50.0","0.03","0.03","193","0.14","2016-02-24","444220"
"Dead Effect 2","0","0","8","0","0.42","0.42","0.05","0.03","40.0","0.06","0.04","163","0.17","2016-02-23","394760"
"NEKOPARA Vol. 2","0","0","8","0","0.80","0.80","0.10","0.09","10.0","0.05","0.37","299","0.35","2016-02-22","420110"
"Wanderjahr","0","0","8","0","0.53","0.53","0.07","N/A","0.0","0.46","0.47","23","0.24","2016-02-21","434860"
"The Solus Project","0","0","8","0","0.42","0.42","0.05","0.03","40.0","0.05","0.19","176","0.17","2016-02-21","313630"
"Lamia's Game Room","0","0","8","0","0.46","0.46","0.06","0.04","33.3","0.03","0.03","42","0.21","2016-02-21","434680"
"Kindred Spirits on the Roof","0","0","8","0","0.83","0.83","0.10","0.11","-10.0","0.10","0.49","74","0.35","2016-02-12","402620"
"American Truck Simulator","0","0","8","0","0.44","0.44","0.05","0.04","20.0","0.05","0.05","3708","0.17","2016-02-02","270880"
"Hero Defense","0","0","8","0","0.40","0.40","0.05","0.03","40.0","0.06","1.09","143","0.17","2016-02-02","423620"
"House of Hell","0","0","8","0","0.43","0.43","0.05","0.39","-680.0","1.22","0.19","50","0.17","2016-01-21","419810"
"Sirius Online","0","0","8","0","0.49","0.49","0.06","0.04","33.3","0.03","0.08","62","0.21","2016-01-20","368720"
"Another Star","0","0","8","0","0.37","0.37","0.05","0.02","60.0","0.03","0.03","76","0.17","2016-01-19","358030"
"Fuego!","0","0","8","0","0.69","0.69","0.09","0.15","-66.7","0.09","0.75","105","0.31","2016-01-18","356100"
"The Deadly Tower of Monsters","0","0","8","0","0.39","0.39","0.05","0.03","40.0","0.04","0.04","171","0.17","2016-01-16","353700"
"3DRPG","0","0","8","0","0.24","0.24","0.03","0.02","33.3","0.03","0.03","141","0.10","2016-01-13","431840"
"Dragon's Dogma: Dark Arisen","0","0","8","0","0.34","0.34","0.04","0.03","25.0","0.05","0.05","2003","0.14","2016-01-12","367500"
"Raining Blobs","0","0","8","0","3.75","3.75","0.47","0.18","61.7","0.04","0.76","25","1.63","2016-01-09","414370"
"Fake Colours","0","0","8","0","0.46","0.46","0.06","0.03","50.0","0.04","0.03","178","0.21","2016-01-06","334300"
"Cardinal Quest 2","0","0","8","0","0.58","0.58","0.07","0.85","-1,114.3","0.18","0.61","32","0.24","2016-01-05","378030"
"Dance of Death","0","0","8","0","0.36","0.36","0.04","0.03","25.0","0.06","0.03","113","0.14","2015-12-29","430020"
"CortexGear:AngryDroids","0","0","8","0","0.40","0.40","0.05","0.03","40.0","0.03","0.03","98","0.17","2015-12-24","375620"
"Kings of Israel","0","0","8","0","0.66","0.66","0.08","0.06","25.0","0.28","0.86","26","0.28","2015-12-23","428460"
"AGON - The Lost Sword of Toledo","0","0","8","0","0.36","0.36","0.04","0.02","50.0","0.04","0.03","114","0.14","2015-12-23","410130"
"Space Food Truck","0","0","8","0","0.56","0.56","0.07","0.06","14.3","0.53","0.18","48","0.24","2015-12-22","397390"
"Gnumz: Masters of Defense","0","0","8","0","0.24","0.24","0.03","0.02","33.3","0.03","0.03","216","0.10","2015-12-21","371460"
"Plastiland","0","0","8","0","0.41","0.41","0.05","0.03","40.0","0.05","0.03","101","0.17","2015-12-21","421880"
"Shoppy Mart: Steam Edition","0","0","8","0","0.40","0.40","0.05","0.17","-240.0","0.87","0.26","36","0.17","2015-12-18","388360"
"Punch Club","0","0","8","0","0.33","0.33","0.04","0.02","50.0","0.04","0.04","938","0.14","2015-12-15","394310"
"WORLD END ECONOMiCA episode.02","0","0","8","0","0.47","0.47","0.06","0.12","-100.0","0.05","0.17","59","0.21","2015-12-12","368160"
"Shadowrun Chronicles: INFECTED Director's Cut","0","0","8","0","1.54","1.54","0.19","N/A","0.0","0.21","0.46","22","0.66","2015-12-11","421900"
"History in Letters - The Eternal Alchemist","0","0","8","0","0.56","0.56","0.07","N/A","0.0","0.96","0.37","23","0.24","2015-12-08","318680"
"Bombernauts","0","0","8","0","0.42","0.42","0.05","0.04","20.0","0.30","0.03","73","0.17","2015-12-08","246920"
"Zombie Vikings","0","0","8","0","0.42","0.42","0.05","0.04","20.0","0.32","0.04","96","0.17","2015-12-07","337480"
"Samsa and the Knights of Light","0","0","8","0","0.37","0.37","0.05","0.02","60.0","0.04","0.03","67","0.17","2015-12-04","371320"
"Solar Division","0","0","8","0","0.42","0.42","0.05","0.03","40.0","0.03","0.03","26","0.17","2015-12-02","351720"
"Mighty Switch Force! Academy","0","0","8","0","0.78","0.78","0.10","0.16","-60.0","1.35","0.43","44","0.35","2015-12-02","350210"
"The Legend of Dark Witch","0","0","8","0","0.47","0.47","0.06","0.06","0.0","0.19","0.03","47","0.21","2015-12-02","420770"
"Max's Big Bust - A Captain Nekorai Tale","0","0","8","0","0.71","0.71","0.09","N/A","0.0","0.12","0.07","93","0.31","2015-11-30","416360"
"Days Under Custody","0","0","8","0","0.42","0.42","0.05","0.04","20.0","0.04","0.03","45","0.17","2015-11-26","412730"
"Backgammon Blitz","0","0","8","0","0.87","0.87","0.11","0.40","-263.6","0.46","0.26","20","0.38","2015-11-25","395900"
"GOCCO OF WAR","0","0","8","0","0.45","0.45","0.06","0.03","50.0","0.07","0.11","62","0.21","2015-11-18","346730"
"Knights of Pen and Paper 2","0","0","8","0","0.32","0.32","0.04","0.04","0.0","0.04","0.25","384","0.14","2015-11-17","310060"
"Higurashi When They Cry Hou - Ch.2 Watanagashi","0","0","8","0","0.80","0.80","0.10","0.10","0.0","0.12","0.05","86","0.35","2015-11-13","410890"
"Toby: The Secret Mine","0","0","8","0","0.36","0.36","0.05","0.05","0.0","0.03","0.03","66","0.17","2015-11-10","395160"
"Louie Cooks","0","0","8","0","0.54","0.54","0.07","N/A","0.0","0.93","0.46","25","0.24","2015-11-10","398480"
"Super Space Meltdown","0","0","8","0","5.30","5.30","0.66","0.14","78.8","0.03","0.21","24","2.30","2015-11-09","388500"
"Mushihimesama","0","0","8","0","0.52","0.52","0.07","0.27","-285.7","0.14","0.36","84","0.24","2015-11-05","377860"
"Car Washer: Summer of the Ninja","0","0","8","0","0.43","0.43","0.05","0.03","40.0","0.05","0.05","76","0.17","2015-10-30","369360"
"Hyperdimension Neptunia Re;Birth3 V Generation","0","0","8","0","0.74","0.74","0.09","0.10","-11.1","0.11","0.10","113","0.31","2015-10-30","353270"
"The Legend of Heroes: Trails in the Sky SC","0","0","8","0","0.79","0.79","0.10","0.10","0.0","0.05","0.87","117","0.35","2015-10-29","251290"
"Killing Floor 2","0","0","8","0","0.40","0.40","0.05","0.03","40.0","0.05","0.05","1899","0.17","2015-10-29","232090"
"G-senjou no Maou - The Devil on G-String","0","0","8","0","0.67","0.67","0.08","0.14","-75.0","0.09","0.20","42","0.28","2015-10-28","377670"
"Sound of Drop - fall into poison -","0","0","8","0","0.56","0.56","0.07","0.09","-28.6","0.07","0.29","72","0.24","2015-10-28","383460"
"Overlord: Fellowship of Evil","0","0","8","0","0.64","0.64","0.08","0.07","12.5","0.07","0.05","53","0.28","2015-10-24","306670"
"Mugen Souls","0","0","8","0","0.58","0.58","0.07","0.18","-157.1","0.23","2.09","38","0.24","2015-10-22","389870"
"Empire TV Tycoon","0","0","8","0","0.43","0.43","0.05","0.04","20.0","0.08","0.06","169","0.17","2015-10-19","377900"
"Extreme Exorcism","0","0","8","0","0.66","0.66","0.08","0.11","-37.5","0.04","0.61","38","0.28","2015-10-15","334100"
"Luna Sky","0","0","8","0","0.39","0.39","0.05","0.03","40.0","0.03","0.04","78","0.17","2015-10-14","361600"
"Goggles - World of Vaporia","0","0","8","0","0.41","0.41","0.05","0.05","0.0","0.04","0.03","161","0.17","2015-10-12","398830"
"Ancestory","0","0","8","0","0.92","0.92","0.12","0.18","-50.0","0.64","34.29","24","0.42","2015-10-10","349840"
"A.I. Invasion","0","0","8","0","0.63","0.63","0.08","0.10","-25.0","0.05","0.19","23","0.28","2015-10-08","386540"
"Ace of Words","0","0","8","0","0.37","0.37","0.05","0.03","40.0","0.03","0.03","111","0.17","2015-10-08","398680"
"2064: Read Only Memories","0","0","8","0","0.42","0.42","0.05","0.03","40.0","0.03","0.03","184","0.17","2015-10-06","330820"
"SKYHILL","0","0","8","0","0.32","0.32","0.04","0.02","50.0","0.03","0.03","749","0.14","2015-10-05","382140"
"Project Tarvotan","0","0","8","0","0.31","0.31","0.04","0.02","50.0","0.03","0.03","323","0.14","2015-10-02","388660"
"Dead But Alive! Southern England","0","0","8","0","0.58","0.58","0.07","0.10","-42.9","0.08","0.32","27","0.24","2015-10-02","384840"
"Sayonara Umihara Kawase","0","0","8","0","0.41","0.41","0.05","1.33","-2,560.0","0.19","0.43","37","0.17","2015-10-02","378750"
"ZombieZoid® Zenith","0","0","8","0","0.93","0.93","0.12","0.40","-233.3","0.35","3.06","25","0.42","2015-10-02","403230"
"Inventioneers","0","0","8","0","1.34","1.34","0.17","N/A","0.0","2.03","1.45","18","0.59","2015-10-02","395580"
"Grand Ages: Medieval","0","0","8","0","0.41","0.41","0.05","0.05","0.0","0.49","0.05","188","0.17","2015-09-25","310470"
"A Kiss For The Petals - Remembering How We Met","0","0","8","0","0.43","0.43","0.05","0.12","-140.0","0.04","0.04","220","0.17","2015-09-25","397270"
"Jagged Alliance Online: Reloaded","0","0","8","0","1.96","1.96","0.24","0.53","-120.8","2.22","0.25","18","0.83","2015-09-24","339640"
"Concrete Jungle","0","0","8","0","0.34","0.34","0.04","0.03","25.0","0.03","0.03","194","0.14","2015-09-24","400160"
"ESCHATOS","0","0","8","0","0.45","0.45","0.06","N/A","0.0","1.88","1.59","62","0.21","2015-09-19","378770"
"SOMA","0","0","8","0","0.51","0.51","0.06","0.04","33.3","0.04","0.04","637","0.21","2015-09-18","282140"
"Albino Lullaby: Episode 1","0","0","8","0","0.55","0.55","0.07","0.09","-28.6","0.22","0.10","34","0.24","2015-09-18","355860"
"ChargeShot","0","0","8","0","0.70","0.70","0.09","0.05","44.4","0.04","0.22","30","0.31","2015-09-18","401840"
"VolChaos","0","0","8","0","0.42","0.42","0.05","0.03","40.0","0.31","0.03","66","0.17","2015-09-16","354030"
"Disposable Heroes","0","0","8","0","0.41","0.41","0.05","0.03","40.0","0.27","0.03","64","0.17","2015-09-12","366180"
"Ravenmark: Scourge of Estellion","0","0","8","0","0.55","0.55","0.07","0.05","28.6","0.38","0.48","28","0.24","2015-09-10","365480"
"Jagged Alliance Online - Steam Edition","0","0","8","0","0.95","0.95","0.12","3.19","-2,558.3","39.97","12.26","21","0.42","2015-09-10","218450"
"Rugby World Cup 2015","0","0","8","0","1.46","1.46","0.18","1.64","-811.1","0.66","0.92","16","0.63","2015-09-05","365750"
"Immortal Defense","0","0","8","0","0.41","0.41","0.05","0.04","20.0","0.11","0.09","51","0.17","2015-09-03","298360"
"Circa Infinity","0","0","8","0","0.43","0.43","0.05","0.06","-20.0","0.07","0.05","29","0.17","2015-09-02","390610"
"Armello","0","0","8","0","0.34","0.34","0.04","0.03","25.0","0.05","0.04","1035","0.14","2015-09-01","290340"
"Mega Man Legacy Collection","0","0","8","0","0.41","0.41","0.05","0.05","0.0","0.05","0.04","187","0.17","2015-08-28","363440"
"Arclight Cascade","0","0","8","0","0.97","0.97","0.12","0.21","-75.0","0.06","0.32","59","0.42","2015-08-25","391210"
"Synchrom","0","0","8","0","1.39","1.39","0.17","N/A","0.0","15.07","1.32","18","0.59","2015-08-25","393740"
"Defend The Highlands","0","0","8","0","0.37","0.37","0.05","0.02","60.0","0.07","0.03","139","0.17","2015-08-25","374830"
"Dead In Bermuda","0","0","8","0","0.41","0.41","0.05","0.04","20.0","0.10","0.18","173","0.17","2015-08-24","384310"
"Pure Hold'em","0","0","8","0","1.15","1.15","0.14","0.18","-28.6","0.10","1.33","30","0.49","2015-08-20","322950"
"Big Journey to Home","0","0","8","0","0.71","0.71","0.09","0.07","22.2","0.10","0.03","31","0.31","2015-08-20","388440"
"S.K.I.L.L. - Special Force 2","0","0","8","0","1.23","1.23","0.15","0.11","26.7","0.11","0.12","65","0.52","2015-08-18","286940"
"NEKOPARA Vol. 0","0","0","8","0","0.77","0.77","0.10","0.09","10.0","0.19","0.05","326","0.35","2015-08-17","385800"
"BRAWL","0","0","8","0","0.73","0.73","0.09","0.16","-77.8","0.59","0.23","31","0.31","2015-08-13","365680"
"Duet","0","0","8","0","0.75","0.75","0.09","0.09","0.0","1.73","0.03","37","0.31","2015-08-06","292600"
"Fairy Fencer F","0","0","8","0","0.56","0.56","0.07","0.13","-85.7","0.06","0.06","154","0.24","2015-08-05","347830"
"Broken Bots","0","0","8","0","0.88","0.88","0.11","0.11","0.0","0.07","0.03","30","0.38","2015-08-04","366620"
"Caverns of the Snow Witch","0","0","8","0","0.43","0.43","0.05","0.12","-140.0","1.43","0.10","38","0.17","2015-08-04","324730"
